pdiv,longitude,latitude,county,grid_id,land_surface_elevation_m,hydraulic_conductivity_mday,specific_yield,saturated_thickness_1945_m,average_saturated_thickness_2018_2020_m,bedrock_m,bedrock_depth_m,B,x_meters,y_meters,logB
12958,-100.5068,39.38673,SD,36901,861.4431125058039,82.228944,0.0525,30.497078027344514,11.066003613280548,791.7539791992194,69.7992,0.0020153878897030734,370233.8460092385,4360776.750563511,-6.206943601016112
8936,-100.6176,39.35687,SD,38330,884.181570454564,68.942712,0.0628,42.88722407226647,17.774524365236157,807.4513466308583,76.8096,0.002358204700758569,360631.8599347742,4357627.823241813,-6.049854669456471
45048,-100.5054,39.38216,SD,37262,849.5162082241784,87.450168,0.0483,26.67726777344007,8.76610058594007,793.0963964843739,56.388000000000005,0.0019097138696002644,370345.9621242936,4360267.533048769,-6.26080185463772
9104,-100.6366,39.36467,SD,37968,889.5239297589243,81.936336,0.0639,46.28403999023323,18.35567958984442,809.20322109375,80.4672,0.0020009950401800643,359010.4692850135,4358523.010874744,-6.214110702054245
17693,-100.6307,39.36469,SD,37968,889.5239297589243,81.936336,0.0639,46.28403999023323,18.35567958984442,809.20322109375,80.4672,0.0020009950401800643,359518.8087086854,4358516.035911487,-6.214110702054245
9280,-100.5437,39.39745,SD,36538,871.1834477607928,83.079336,0.0592,37.882859765625,15.71450126953055,791.86891171875,79.248,0.0019830707166792762,367076.2034929836,4362020.221661108,-6.223108768618268
68306,-100.7191,39.35473,SD,38319,898.0217138077032,101.995224,0.0693,36.71876337890519,13.438212304685976,837.110354882814,60.96,0.0016194202710991888,351881.86378778657,4357551.843021856,-6.425687051130244
9282,-100.6702,39.38303,SD,37244,900.6704798697683,74.43216,0.0643,45.7533375,19.28146494140555,818.155381640625,82.6008,0.002190581571851663,356153.435276447,4360613.738326121,-6.123588212484858
9350,-100.6223,39.43728,SD,34369,887.8965435736077,92.406216,0.0637,38.680578515625,18.089537695314025,812.0373550781251,75.8952,0.0017860830711628744,360387.3237931287,4366559.583215009,-6.327730285200274
23770,-100.6673,39.35447,SD,38684,886.1331315649011,81.71688000000002,0.0548,44.065924218750006,17.781612304685975,819.815931445314,66.4464,0.0020227016528736545,356344.68690425146,4357439.320974455,-6.20332120924352
9689,-100.7201,39.38239,SD,37239,907.1657456709404,117.847872,0.0817,40.07137734375,17.033453320314024,833.7440859375,73.4568,0.0014000681495269724,351854.1760167595,4360623.41129396,-6.571234365312119
37367,-100.6789,39.35386,SD,38683,889.0012671424838,91.065096,0.0596,43.03421044921921,17.78369589843887,822.0431071289056,67.056,0.0018174269241764273,355343.91094411176,4357390.1320000505,-6.310333556145421
9766,-100.54559,39.43006,SD,34737,866.9341453082742,79.927704,0.0598,37.68862045898323,16.756744628905548,794.5284703125001,72.5424,0.002055871472918991,366975.45654412295,4365642.289762511,-6.187055446514945
52338,-100.6552,39.3646,SD,37966,895.6763467955805,88.236552,0.0583,46.24502841796921,16.683297949219423,814.5397511718751,81.0768,0.0018747350932867824,357407.8897389192,4358544.445971758,-6.279287913121611
9876,-100.589,39.42276,SD,35093,875.9699394184015,83.52129599999999,0.0544,38.07845712890549,15.249934277344574,803.7970022460945,72.2376,0.0019820904353798005,363224.82252298505,4364897.011591131,-6.223603215770277
39547,-100.6552,39.3576,SD,38326,891.0615766706215,81.256632,0.0534,44.969162109375006,17.09704013671942,815.214537890625,75.8952,0.002036359963996254,357393.6516929347,4357767.536046728,-6.196591396315836
10125,-100.4792,39.40848,SD,35824,856.9437369926746,56.57392800000001,0.0436,38.963203125,20.956172021483265,776.3461382812501,80.4672,0.0028999071305260745,372650.4364413993,4363151.381686642,-5.843076566459013
10503,-100.6268,39.42664,SD,35089,885.192808086898,86.343744,0.0576,42.27892631835823,20.38973217773326,808.1748373535168,77.1144,0.0019148489782849073,359978.73781268,4365385.647515834,-6.258116521973748
30042,-100.6173,39.3607,SD,38330,884.181570454564,68.942712,0.0628,42.88722407226647,17.774524365236157,807.4513466308583,76.8096,0.002358204700758569,360665.31986559264,4358052.439352378,-6.049854669456471
10944,-100.5534,39.3966,SD,36536,877.8887332662142,81.527904,0.0601,42.17398388671951,17.4238294921861,793.4652049804695,84.42960000000001,0.0020171267012222957,366239.2991015437,4361940.215004574,-6.206081205313489
25476,-100.6224,39.36302,SD,37969,888.6549510250235,77.120496,0.0648,44.52137548828049,18.581637890625,807.71851171875,81.0768,0.002117400143780812,360230.5435559228,4358317.809254224,-6.15756629015058
11296,-100.60114,39.45169,SD,33651,871.7678329730625,82.82025600000001,0.0656,34.02424877929726,16.061959130858263,811.0043390625001,60.6552,0.001977981328783916,362236.81714091497,4368126.370806472,-6.225678485268071
34393,-100.6177,39.37479,SD,37610,889.0773696535754,69.63156,0.064,42.24644458007744,17.191378564452684,807.5535171386723,81.3816,0.002333734500177586,360658.8703835324,4359616.861101186,-6.0602855047254325
11655,-100.7157,39.41582,SD,35439,909.5036118244454,70.61606400000001,0.0693,43.43805556640824,24.2548171875,828.0166215820306,81.3816,0.00229299428915382,352303.6955467274,4364326.5441689445,-6.077896765666026
29875,-100.6267,39.37486,SD,37609,892.0017792745855,75.800712,0.0642,44.05911533203049,18.2858419921861,807.8774229492195,84.12480000000001,0.0021533382994874976,359883.75136362767,4359638.558623991,-6.140735943594852
12627,-100.5436,39.41359,SD,35458,869.2362641207833,71.37806400000001,0.0604,39.15124746093903,15.95322158203055,791.598193359375,77.724,0.0022868721633343574,367115.4577419509,4363811.400161151,-6.080570262602895
26789,-100.6455766,39.36852833,SD,37967,892.8313140632342,84.816696,0.0604,46.61899628906372,16.855138623047136,812.1420184570306,80.772,0.0019425156404744039,358244.9159335231,4358965.288909833,-6.243771424030612
12879,-100.4885,39.40287,SD,36183,861.0725747814646,50.209704,0.0434,38.804998828125,20.729953271483264,778.56159375,82.6008,0.0032472725440877365,371839.4606427015,4362541.916799876,-5.729939852184162
30217,-100.6327,39.37058,SD,37608,894.4226959010971,85.45068,0.0661,45.97233808593903,18.19256396484442,809.20798359375,85.34400000000001,0.0019195428405347633,359358.3229126375,4359172.862466252,-6.2556682251818225
25652,-100.6307,39.37632,SD,37608,894.4226959010971,85.45068,0.0661,45.97233808593903,18.19256396484442,809.20798359375,85.34400000000001,0.0019195428405347633,359542.1185099071,4359806.815053716,-6.2556682251818225
13049,-100.6454,39.37664,SD,37247,894.5628413368341,94.430088,0.0699,46.69720546875,18.699683398437948,811.12280625,83.51520000000001,0.0017411346058517985,358276.5351022744,4359865.303437889,-6.353218305933866
15070,-100.6555,39.37236,SD,37606,897.1491398226175,93.37548,0.0634,46.15815,17.201331445314025,814.1858378906251,82.9056,0.0017689781061888945,357397.83317934955,4359406.180888864,-6.337353240258186
13111,-100.587,39.39754,SD,36533,881.3746451276598,72.34428,0.0576,40.98588896484451,17.101095703125,801.2505530273445,80.1624,0.002263773872593879,363347.7494033217,4362094.881975546,-6.090722003225843
37899,-100.6694,39.37207,SD,37604,898.9218476502595,85.051392,0.0617,45.22019794921921,18.05087958984442,818.9782895507806,79.8576,0.001935228804612737,356199.8473716249,4359396.039961435,-6.247529714212914
35060,-100.6741,39.37589,SD,37604,898.9218476502595,85.051392,0.0617,45.22019794921921,18.05087958984442,818.9782895507806,79.8576,0.001935228804612737,355802.83305134735,4359827.50840032,-6.247529714212914
28796,-100.6791,39.37915,SD,37243,903.2186893696094,79.29372,0.0647,45.30183017578049,19.999653662108265,819.9938182617195,83.2104,0.0020626390218282647,355378.8671034018,4360197.326014503,-6.183769037504226
14543,-100.6317,39.41563,SD,35448,889.8858679220407,64.11468,0.0532,43.69683046875,21.837978662108263,809.1862546875001,80.772,0.002548650773404108,359534.8601280576,4364171.289391095,-5.97219116830806
15471,-100.6789,39.37593,SD,37603,899.9964629840003,88.34628000000001,0.0623,44.03187978515549,18.216674121094574,821.4590311523444,78.6384,0.001865889587346773,355389.4484146257,4359839.625297184,-6.284017349075718
38070,-100.6973,39.37227,SD,37601,903.85317906104,108.09732,0.0679,42.99279902343598,18.71521113281097,826.886011523439,77.1144,0.0015344261697603338,353796.85382030014,4359463.043627963,-6.479598798610147
